"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderwater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask","FactionGroupMask","LiquidTypeID_1","LiquidTypeID_2","LiquidTypeID_3","LiquidTypeID_4","MinElevation","Ambient_Multiplier","Lightid"
"1","0","0","119","65","0","11","42","8","0","0","","","","","","丹莫洛","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.3","0"
"2","0","40","120","1073741888","0","11","0","9","0","0","","","","","","長灘","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"3","0","0","121","64","0","11","25","7","0","0","","","","","","荒蕪之地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.1","0"
"4","0","0","122","64","0","11","210","7","0","0","","","","","","詛咒之地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"7","0","33","123","1073741888","0","11","0","3","0","0","","","","","","黑水灣","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"8","0","0","124","64","0","11","33","223","0","0","","","","","","悲傷沼澤","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"9","0","12","125","1076887552","0","11","35","1","0","0","","","","","","北郡山谷","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"10","0","0","617","64","0","11","40","2","0","0","","","","","","暮色森林","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"11","0","0","618","64","0","11","44","227","0","0","","","","","","濕地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"12","0","0","126","64","0","11","35","1","0","0","","","","","","艾爾文森林","","","","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"13","0","10","555","1073741888","0","11","48","11","0","0","","","","","","世界之樹","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"14","1","0","127","64","0","11","25","9","0","0","","","","","","杜洛塔","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.4","0"
"15","1","0","128","64","0","11","33","227","0","0","","","","","","塵泥沼澤","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.4","0"
"16","1","0","129","64","0","11","31","205","0","0","","","","","","艾薩拉","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"17","1","0","130","64","0","11","38","7","0","0","","","","","","貧瘠之地","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.3","0"
"18","0","12","131","1073741888","0","11","35","1","0","7","","","","","","水晶湖","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"19","0","33","574","1073741888","0","11","32","3","0","40","","","","","","祖爾格拉布","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"20","0","40","132","1073741888","0","11","0","9","0","14","","","","","","月溪鎮","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"21","0","0","133","64","0","11","0","8","0","0","","","","","","庫爾提拉斯","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"22","451","0","547","17472","0","11","38","2","0","0","","","","","","工程師島","","","","","","","","","","","16712190","0","1","0","0","0","-500","0","0"
"23","0","12","134","1074790464","0","11","35","0","0","0","","","","","","北郡河","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"24","0","12","135","1076887552","73","11","35","1","67","0","","","","","","北郡修道院","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"25","0","0","136","64","0","11","46","10","0","0","","","","","","黑石山","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"26","0","40","602","1073741888","0","11","0","7","0","0","","","","","","燈塔","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"28","0","0","137","64","0","11","37","205","0","0","","","","","","西瘟疫之地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"30","0","0","138","64","0","11","0","0","0","0","","","","","","Nine","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"32","0","10","139","1073741888","0","11","0","2","0","0","","","","","","陵墓","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"33","0","0","140","64","0","11","32","3","0","0","","","","","","荊棘谷","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"34","0","12","141","1073741824","0","11","35","1","0","0","","","","","","回音山礦坑","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"35","0","33","142","1075839040","0","11","0","3","0","42","","","","","","藏寶海灣","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"36","0","0","143","64","0","11","31","1","0","0","","","","","","奧特蘭克山脈","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.5","0"
"37","0","33","144","1073741888","0","11","0","3","0","36","","","","","","納菲瑞提湖","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"38","0","0","145","64","0","11","31","1","0","0","","","","","","洛克莫丹","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.1","0"
"40","0","0","146","64","0","11","47","9","0","0","","","","","","西部荒野","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.1","0"
"41","0","0","556","64","0","11","49","2","0","0","","","","","","逆風小徑","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"42","0","10","147","1075839040","0","11","0","2","0","25","","","","","","夜色鎮","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"43","0","33","148","1073741888","0","11","0","3","0","42","","","","","","蠻荒海岸","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"44","0","0","149","64","0","11","31","1","0","0","","","","","","赤脊山","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.2","0"
"45","0","0","150","64","0","11","30","8","0","0","","","","","","阿拉希高地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.2","0"
"46","0","0","151","64","0","11","46","10","0","0","","","","","","燃燒平原","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.1","0"
"47","0","0","152","64","0","11","31","1","0","0","","","","","","辛特蘭","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.4","0"
"49","451","22","153","1073741888","0","11","0","0","0","0","","","","","","亡者之穴","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"51","0","0","154","64","0","11","46","10","0","0","","","","","","灼熱峽谷","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.1","0"
"53","0","12","155","1073741888","0","11","35","1","0","0","","","","","","盜賊營地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"54","0","12","550","1073741888","0","11","35","1","0","8","","","","","","玉石礦坑","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"55","0","12","156","1073741888","0","11","35","13","61","0","","","","","","Valley of Heroes UNUSED","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"56","0","12","157","1073741888","0","11","35","1","303","0","","","","","","英雄崗哨","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"57","0","12","158","1073741888","0","11","35","1","0","5","","","","","","法戈第礦坑","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"59","0","12","159","1074790400","0","11","35","1","0","0","","","","","","北郡農場","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"60","0","12","606","1073741888","0","11","35","1","0","8","","","","","","森林邊界","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"61","0","12","160","1073741888","0","11","35","1","0","0","","","","","","雷霆瀑布","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"62","0","12","161","1073741888","0","11","35","1","0","8","","","","","","布萊克威爾南瓜田","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"63","0","12","162","1073741888","0","11","35","1","0","6","","","","","","斯通菲爾德農場","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"64","0","12","163","1073741888","0","11","35","1","0","6","","","","","","馬科倫農場","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"65","571","0","164","17476","0","11","439","412","545","0","","","","","","龍骨荒野","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"66","571","0","165","17476","0","11","441","423","544","76","","","","","","祖爾德拉克","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"67","571","0","166","17473","0","11","465","420","0","77","","","","","","風暴群山","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.6","0"
"68","0","44","557","1073741888","0","11","0","1","0","16","","","","","","止水湖","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"69","0","44","167","1075839040","0","11","0","1","0","15","","","","","","湖畔鎮","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"70","0","44","168","1073741888","0","11","0","1","0","24","","","","","","石望","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"71","0","44","627","1073741888","0","11","0","1","0","20","","","","","","石望瀑布","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"72","0","4","169","1073741888","0","11","210","7","0","63","","","","","","黑暗之門","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"73","0","4","170","1073741888","0","11","0","7","0","50","","","","","","腐化之痕","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"74","0","8","171","1073741888","0","11","0","0","0","43","","","","","","淚水之池","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"75","0","8","172","1075839040","0","11","0","0","0","37","","","","","","斯通納德","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"76","0","8","173","1073741888","0","11","0","0","0","37","","","","","","農田避難所","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"77","0","1","174","1076887552","0","11","0","8","0","0","","","","","","安威瑪","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"80","0","12","175","1073741888","0","11","35","17","0","10","","","","","","暴風山脈","","","","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"81","451","22","575","1073741888","0","11","0","0","0","0","","","","","","Jeff NE Quadrant Changed","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"82","451","22","176","1073741888","0","11","0","0","0","0","","","","","","Jeff NW Quadrant","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"83","451","22","177","1073741888","0","11","0","0","0","0","","","","","","Jeff SE Quadrant","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"84","451","22","178","1073741888","0","11","0","0","0","0","","","","","","Jeff SW Quadrant","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"85","0","0","179","64","0","11","40","2","0","0","","","","","","提里斯法林地","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.3","0"
"86","0","12","180","1073741888","0","11","35","1","0","8","","","","","","石碑湖","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"87","0","12","548","1076887616","0","11","35","1","0","5","","","","","","閃金鎮","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"88","0","12","181","1073741888","0","11","35","1","0","6","","","","","","東谷伐木場","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"89","0","12","182","1073741888","0","11","35","1","0","0","","","","","","明鏡湖果園","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"91","0","12","183","1073741888","0","11","35","1","0","8","","","","","","阿祖拉之塔","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"92","0","12","558","1073741888","0","11","35","1","0","0","","","","","","明鏡湖","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"93","0","10","628","1073741888","0","11","0","214","0","28","","","","","","沃古爾巨魔山","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"94","0","10","184","1073741888","0","11","0","2","0","24","","","","","","烏鴉嶺","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"95","0","44","185","1073741888","0","11","0","1","0","20","","","","","","赤脊峽谷","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"96","0","44","186","1073741888","0","11","0","1","0","25","","","","","","伊爾加拉之塔","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"97","0","44","187","1073741888","0","11","0","1","0","19","","","","","","奧瑟爾伐木場","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"98","0","44","188","1073741888","0","11","0","1","0","17","","","","","","瑞斯班洞穴","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"99","0","33","189","1075839040","0","11","0","3","0","30","","","","","","反抗軍營地","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
